Inventory ID,Inventory ID,Description,Item Status,Stock Item,Vendor MOQ,Stock Status,Item Class,Item Class Description,Range,Type,Is a Kit,Valuation Method,Tax Category,Posting Class,Default Warehouse,Default Issue From,Default Receipt To,HS Code,Commodity Code,Base Unit,Sales Unit,Purchase Unit,M/F Code,NQ Type,Product Function,Product Function Description,Country of Origin,Client ID,Client Name,Launch Date,Price Class,Duty,Shipping,Packaging,Vendor Lead Time (Days),Prod. Lead Time (Days),Weight UOM,Volume UOM,Weight per Item Assembled,Weight per Master Carton,Weight per Inner Carton,Volume per Item Assembled,Volume per Master Carton,Volume per Inner Carton,Length per Item Assembled,Length per Master Carton,Length per Inner Carton,Width per Item Assembled,Width per Master Carton,Width per Inner Carton,Height per Item Assembled,Height per Master Carton,Height per Inner Carton,Weight (lb) per Item Assembled,Weight (lb) per Master Carton,Weight (lb) per Inner Carton,Volume (CFT) per Item,Volume (CFT) per Carton,Volume (CFT) per Shipper,Volume (CFT) per Pallet,Length (in) per Item,Length (in) per Carton,Length (in) per Shipper,Width (in) per Item,Width (in) per Carton,Width (in) per Shipper,Height (in) per Item,Height (in) per Carton,Height (in) per Shipper,Qty of Items per Master Carton,Qty of Items per Inner Carton,Qty of Master Cartons per Pallet,WH Carton Dims Received,Inventory Account,WH Item Dims Received,Master Packaging Weight (g),Inner Packaging Weight (g),Barcode,Season
"7,999",100GD4GRG,CASTOR 100GD4GRG 100mm swivel,Active,True,10.00,E-Part,S-FB-BF-FLW,Food & Beverage : Buffet Station : Flow,Other,Component Part,False,FIFO,STANDARD G,DEFAULT,DACHSER,D-MAIN,D-MAIN,8302200090,8302200090,EA,EA,EA,n/a,Component,COM,Component,United Kingdom,,,01/01/1900,OTH,0.00,0.06,0.00,8,30,G,CBM,485.000000,"19,420.00",0.00,0.000000,0.030537,0.000000,0.00,390.00,0.00,0.00,270.00,0.00,0.00,290.00,0.00,1.07,42.81,0.00,0.000000,1.078405,0.000000,0.000000,0.00,15.35,0.00,0.00,10.63,0.00,0.00,11.42,0.00,40.00,0.00,0.00,False,1001,False,,,5056843400007,
"8,000",100GD4GRGSWB,CASTOR C/W TOTAL STOP 100GD4GRGSWB 100mm swivel braked,Active,True,10.00,E-Part,S-FB-BF-FLW,Food & Beverage : Buffet Station : Flow,Other,Component Part,False,FIFO,STANDARD G,DEFAULT,DACHSER,D-MAIN,D-MAIN,8716909098,8716909098,EA,EA,EA,TO_RS001_20150928_V3,Component,COM,Component,United Kingdom,,,01/01/1900,OTH,0.00,0.05,0.00,8,30,G,CBM,567.000000,"22,695.00",0.00,0.000000,0.029484,0.000000,0.00,390.00,0.00,0.00,270.00,0.00,0.00,280.00,0.00,1.25,50.03,0.00,0.000000,1.041219,0.000000,0.000000,0.00,15.35,0.00,0.00,10.63,0.00,0.00,11.02,0.00,40.00,0.00,0.00,False,1001,False,,,5056843400014,
"10,429",3018,Sauce Bottles Large Print,No Sales,True,,U-UDEV,S-FB-TT-***,Food & Beverage : Tabletop,NQ Portfolio,Component Part,False,FIFO,STANDARD G,DEFAULT,DACHSER,D-MAIN,D-MAIN,tbc,tbc,EA,EA,EA,NQ941_B_Bottle_Mark 2_20161128_V7,,BOT,Bottle,United Kingdom,,,,NQP,0.00,0.00,0.00,,,G,CBM,0.000000,0.00,0.00,0.000056,0.000056,0.000000,29.00,29.00,0.00,29.00,29.00,0.00,66.00,66.00,0.00,0.00,0.00,0.00,0.000000,0.001978,0.000000,0.000000,1.14,1.14,0.00,1.14,1.14,0.00,1.14,2.60,0.00,0.00,0.00,0.00,False,1001,False,,,,
"13,976",4107000411SSS,"Non-braked castor 75 mm, TPU-tyre (for Fare Trolley Frames)",No Sales,True,1.00,E-Part,S-CO-**-***,Components,Other,Component Part,False,FIFO,STANDARD G,DEFAULT,DACHSER,D-MAIN,D-MAIN,TBC,TBC,EA,EA,EA,TBC,,COM,Component,Sweden,C00001,Craster Ltd - Suspense,10/07/2025,OTH,0.00,0.00,0.00,8,45,G,CBM,1.000000,1.05,0.00,0.000000,0.000000,0.000000,1.00,1.05,0.00,1.00,1.05,0.00,1.00,1.05,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.04,0.04,0.00,0.04,0.04,0.00,0.04,0.04,0.00,1.00,0.00,0.00,False,1000,False,0.00,0.00,,
"13,328",4107005411SSS,"Braked castor 75 mm with total stop brake, TPU-tyre (for Fare Trolleys)",Active,True,,E-Part,S-FB-ST-FLW,Food & Beverage : Service Trolley : Flow,Hospitality Services,Component Part,False,FIFO,STANDARD G,DEFAULT,UK,MAIN,MAIN,8302200090,8302200090,EA,EA,EA,,,,,Sweden,,,,HSS,0.00,0.00,0.00,,,,,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,1000,False,,,5056843400069,
"13,759",4110000411SSS,"Castor 100 mm, TPU-tyre",Active,True,0.00,E-Part,S-FB-ST-***,Food & Beverage : Service Trolley,Other,Component Part,False,FIFO,STANDARD G,DEFAULT,UK,MAIN,MAIN,8302200090,8302200090,EA,EA,EA,n/a,Catalogue,TDP,Trolley - Display,Sweden,C00001,Craster Ltd - Suspense,09/05/2025,OTH,0.00,0.00,0.00,8,0,,,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,1000,False,0.00,0.00,5056843421187,
"12,955",4110005411SSS,"Braked castor 100 mm with total stop brake, TPU-tyre",Active,True,0.00,E-Part,S-FB-ST-FLW,Food & Beverage : Service Trolley : Flow,Other,Component Part,False,FIFO,STANDARD G,DEFAULT,UK,MAIN,MAIN,8302200090,8302200090,EA,EA,EA,n/a,Catalogue,TDP,Trolley - Display,Sweden,C00001,Craster Ltd - Suspense,01/12/2022,OTH,0.00,0.00,0.00,8,0,G,CBM,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.000000,0.000000,0.000000,0.000000,210.00,0.00,0.00,13.00,0.00,0.00,115.00,0.00,0.00,1.00,0.00,0.00,False,1000,False,,,5056843400076,
"12,956",4312005411SSS,"Braked castor 125 mm with total stop brake, TPU-tyre",Active,True,0.00,E-Part,S-FB-ST-FLW,Food & Beverage : Service Trolley : Flow,Other,Component Part,False,FIFO,STANDARD G,DEFAULT,UK,MAIN,MAIN,8302200090,8302200090,EA,EA,EA,n/a,Catalogue,TDP,Trolley - Display,Sweden,C00001,Craster Ltd - Suspense,01/12/2022,OTH,0.00,0.00,0.00,8,0,G,CBM,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.000000,0.000000,0.000000,0.000000,210.00,0.00,0.00,13.00,0.00,0.00,115.00,0.00,0.00,1.00,0.00,0.00,False,1000,False,,,5056843400083,
"13,988",82323,FP_101531 Pump Spare - O-RING 1 5/16 IN 33mm Silicone (For Tilt Yoghurt Dispenser),Active,True,,E-Part,S-CO-**-***,Components,Other,Component Part,False,FIFO,STANDARD G,DEFAULT,US,MAIN,MAIN,40169320,40169320,EA,EA,EA,,Component,COM,Component,United States,,,,OTH,0.00,0.00,0.00,,,,,0.000000,0.00,0.00,0.000001,0.000000,0.000000,31.80,0.00,0.00,31.80,0.00,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.000035,0.000000,0.000000,0.000000,1.25,0.00,0.00,1.25,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,False,1000,False,0.00,0.00,,
"12,387",AA_ATTESTED_CI_FEE,Attested Commercial Invoice,Active,False,,,V-**-**-***,Delivery Charges,,Charge,False,Standard,STANDARD S,DEFAULT,UK,,,0,0,EA,EA,EA,,,,,,,,,,0.00,0.00,0.00,,,,,0.000000,0.00,0.00,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,2110,False,,,,
